sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N20_1_3	intrinsic	18.3728	1	N20	UCMC	Groin	Week.1
N20_1_3	acquired	2243.223067	45	N20	UCMC	Groin	Week.1
N20_1_3	unknown	301.23221	6	N20	UCMC	Groin	Week.1
N20_2_4	intrinsic	636.5264999999999	12	N20	UCMC	Stool	Week.3
N20_2_4	acquired	4004.9641	42	N20	UCMC	Stool	Week.3
N20_2_4	unknown	1248.2071799999999	28	N20	UCMC	Stool	Week.3
N21_1_3	intrinsic	796.1290799999999	17	N21	UCMC	Groin	Week.1
N21_1_3	acquired	5476.261692	99	N21	UCMC	Groin	Week.1
N21_1_3	unknown	2310.756853	55	N21	UCMC	Groin	Week.1
N21_1_4	intrinsic	887.04508	16	N21	UCMC	Stool	Week.1
N21_1_4	acquired	5079.87112	68	N21	UCMC	Stool	Week.1
N21_1_4	unknown	2623.19743	48	N21	UCMC	Stool	Week.1
N21_2_2	intrinsic	127.310577	16	N21	UCMC	Axilla	Week.3
N21_2_2	acquired	1839.02143	85	N21	UCMC	Axilla	Week.3
N21_2_2	unknown	310.882302	44	N21	UCMC	Axilla	Week.3
N21_1_2	intrinsic	115.03788	13	N21	UCMC	Axilla	Week.1
N21_1_2	acquired	3611.007853	83	N21	UCMC	Axilla	Week.1
N21_1_2	unknown	171.512361	19	N21	UCMC	Axilla	Week.1
N21_2_4	intrinsic	1260.88534	17	N21	UCMC	Stool	Week.3
N21_2_4	acquired	5586.70382	56	N21	UCMC	Stool	Week.3
N21_2_4	unknown	3432.9523	44	N21	UCMC	Stool	Week.3
N21_2_3	intrinsic	1358.69976	16	N21	UCMC	Groin	Week.3
N21_2_3	acquired	6017.4457	48	N21	UCMC	Groin	Week.3
N21_2_3	unknown	3796.29235	39	N21	UCMC	Groin	Week.3
N22_1_2	intrinsic	27.674067	12	N22	UCMC	Axilla	Week.1
N22_1_2	acquired	634.976906	52	N22	UCMC	Axilla	Week.1
N22_1_2	unknown	25.359379	9	N22	UCMC	Axilla	Week.1
N22_1_3	intrinsic	86.923871	13	N22	UCMC	Groin	Week.1
N22_1_3	acquired	1257.976949	69	N22	UCMC	Groin	Week.1
N22_1_3	unknown	92.968767	19	N22	UCMC	Groin	Week.1
N22_2_2	intrinsic	63.886371999999994	6	N22	UCMC	Axilla	Week.3
N22_2_2	acquired	21108.607702	62	N22	UCMC	Axilla	Week.3
N22_2_2	unknown	478.474742	13	N22	UCMC	Axilla	Week.3
N22_2_3	intrinsic	1000.17156	17	N22	UCMC	Groin	Week.3
N22_2_3	acquired	2173.673727	66	N22	UCMC	Groin	Week.3
N22_2_3	unknown	734.88914	27	N22	UCMC	Groin	Week.3
N22_2_4	intrinsic	963.15124	16	N22	UCMC	Stool	Week.3
N22_2_4	acquired	2062.75044	46	N22	UCMC	Stool	Week.3
N22_2_4	unknown	735.63201	27	N22	UCMC	Stool	Week.3
N22_1_4	intrinsic	1250.4865	14	N22	UCMC	Stool	Week.1
N22_1_4	acquired	6050.89497	42	N22	UCMC	Stool	Week.1
N22_1_4	unknown	1298.4843	14	N22	UCMC	Stool	Week.1
