Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(SampleType)[T.Groin]:C(AnyMilk)[T.Mother],-0.08101396877879387,0.04572999906203963,0.07720125742587483,False,Interaction,SampleType,AnyMilk
C(PICC)[T.peripheral_UE],-0.10065244278424054,0.057461057607729654,0.08057211374165824,False,Main,,
C(Location)[T.Hangzhou]:C(PICC)[T.peripheral_UE],-0.10065244278423921,0.057461057607729654,0.0805721137416622,False,Interaction,Location,PICC
C(PICC)[T.axillary]:C(Delivery)[T.Vaginal],0.42874852906630423,0.251703502932345,0.08924609674205831,False,Interaction,PICC,Delivery
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(AnyMilk)[T.Mother],0.11413965848460833,0.06731374523895509,0.09070653050038222,False,Interaction,MaternalAntibiotics,AnyMilk
C(GestationCohort)[T.33-36 Weeks]:C(PostNatalAbxCohort)[T.No.Infant.Abx],0.21009787397759383,0.12577898478461202,0.09560129673874647,False,Interaction,GestationCohort,PostNatalAbxCohort
C(GestationCohort)[T.28-32 Weeks]:C(Delivery)[T.Vaginal],-0.2719646183262433,0.16292231775828375,0.09581583996294017,False,Interaction,GestationCohort,Delivery
C(SampleType)[T.Stool]:C(UVC)[T.UVC],-0.06285142845089244,0.038088888485585316,0.09967578926552824,False,Interaction,SampleType,UVC
C(AnyMilk)[T.No.Milk]:C(PICC)[T.peripheral_UE],0.2262905036019875,0.14058518807729622,0.10824028499231214,False,Interaction,AnyMilk,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.peripheral_UE],-0.24912619233495115,0.15653987075536022,0.11227041038469394,False,Interaction,MaternalAntibiotics,PICC
C(AnyMilk)[T.Mother]:C(UVC)[T.UVC],0.11650117394332263,0.07745098508500167,0.13329433542117525,False,Interaction,AnyMilk,UVC
C(GestationCohort)[T.28-32 Weeks]:C(PostNatalAbxCohort)[T.No.Infant.Abx],0.23430782311879012,0.1561493757809443,0.13423773857043317,False,Interaction,GestationCohort,PostNatalAbxCohort
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.axillary],1.2600341203176015e-16,8.550384478934303e-17,0.1413336599436027,False,Interaction,GestationCohort,PICC
C(PICC)[T.PICC_LE],0.2850018369633619,0.19627588940951893,0.14724591265489953,False,Main,,
C(AnyMilk)[T.No.Milk]:C(PICC)[T.PICC_LE],0.2782118971375291,0.19496007223805603,0.15432791799913184,False,Interaction,AnyMilk,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(UVC)[T.UVC],-0.12484821254963799,0.08875085351973028,0.16025859880481255,False,Interaction,MaternalAntibiotics,UVC
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.PICC_UE],-0.23191138146978996,0.16598559928440673,0.16310850223686962,False,Interaction,GestationCohort,PICC
C(SampleType)[T.Stool]:C(PICC)[T.peripheral_UE],0.0948845096248154,0.07253588943750368,0.19156375394913525,False,Interaction,SampleType,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(AnyMilk)[T.No.Milk],0.1359045706802286,0.10820787518113519,0.2098394324624584,False,Interaction,PostNatalAbxCohort,AnyMilk
C(SampleType)[T.Groin]:C(UVC)[T.UVC],-0.052902221898554806,0.0422954982720249,0.21172238463161727,False,Interaction,SampleType,UVC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.peripheral_UE],0.13676751189655328,0.11195405439107123,0.22253909204282343,False,Interaction,PostNatalAbxCohort,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.1218551617374575,0.10031854642896151,0.22517963725701043,False,Main,,
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(Delivery)[T.Vaginal],0.2105686479167453,0.17358831882797968,0.22580824121947993,False,Interaction,PostNatalAbxCohort,Delivery
C(AnyMilk)[T.Mother]:C(PICC)[T.axillary],-0.21180661508712,0.176520080933645,0.2308640045368924,False,Interaction,AnyMilk,PICC
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_LE],-0.4425112953587772,0.36940698506060043,0.2316427014296136,False,Interaction,Location,PICC
C(Location)[T.Hangzhou]:C(GestationCohort)[T.33-36 Weeks],0.1113368199630471,0.09374670580211782,0.23565837770416836,False,Interaction,Location,GestationCohort
C(SampleType)[T.Groin]:C(GestationCohort)[T.33-36 Weeks],0.07608592597111674,0.06411035267293608,0.23598856328469148,False,Interaction,SampleType,GestationCohort
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.PICC_LE],-0.24629517769602133,0.2128915115532984,0.24797841194919476,False,Interaction,GestationCohort,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_UE],-0.11747255232145982,0.10183293030825077,0.24933745564436005,False,Interaction,MaternalAntibiotics,PICC
C(PICC)[T.axillary],-0.08240859494364387,0.07384667466933412,0.2650943218100541,False,Main,,
C(GestationCohort)[T.28-32 Weeks]:C(PICC)[T.axillary],-0.08240859494364416,0.07384667466933534,0.26509432181006043,False,Interaction,GestationCohort,PICC
C(Location)[T.Hangzhou]:C(PICC)[T.axillary],-0.08240859494364267,0.07384667466933419,0.2650943218100617,False,Interaction,Location,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_LE],0.03680171402208599,0.03376353683524751,0.2763542188368688,False,Interaction,SampleCollectionWeek,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],-0.07386062176276322,0.06803986478399983,0.27831017055017065,False,Interaction,MaternalAntibiotics,Delivery
C(SampleType)[T.Stool]:C(GestationCohort)[T.28-32 Weeks],0.050034639219186404,0.04612509843102976,0.2786594588998347,False,Interaction,SampleType,GestationCohort
C(AnyMilk)[T.No.Milk]:C(Delivery)[T.Vaginal],0.155778715584594,0.14366673961003754,0.2788601594226621,False,Interaction,AnyMilk,Delivery
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_LE],-0.1254328306708365,0.11575632673444704,0.27917563138297746,False,Interaction,MaternalAntibiotics,PICC
C(GestationCohort)[T.33-36 Weeks]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.0633322028714527,0.060610588235626144,0.29667738243376185,False,Interaction,GestationCohort,MaternalAntibiotics
C(AnyMilk)[T.No.Milk]:C(PICC)[T.axillary],0.12939802014347543,0.12480382761919341,0.300428998920888,False,Interaction,AnyMilk,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.axillary],-1.699986566572582e-17,1.6995756869655623e-17,0.31777778551887215,False,Interaction,PostNatalAbxCohort,PICC
C(Location)[T.Hangzhou]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.06460189078317344,0.06530820179293854,0.32315042592366616,False,Interaction,Location,MaternalAntibiotics
C(SampleType)[T.Groin]:C(AnyMilk)[T.No.Milk],-0.0654958742635833,0.06682706296929067,0.3276189571134621,False,Interaction,SampleType,AnyMilk
C(SampleType)[T.Stool],0.06671951946501425,0.0690459059938068,0.33445487749169,False,Main,,
